antecedents,consequents
['ARREZZIO IMPERIAL'],['CHARIS CLASSIC']
['BLOCK & BARREL CLASSIC'],['CHARIS CLASSIC']
['CHARIS IMPERIAL'],['CHARIS CLASSIC']
['CHARIS CLASSIC'],['CHARIS IMPERIAL']
['CHARIS RELIANCE'],['CHARIS CLASSIC']
['IMPERIAL FRESH'],['CHARIS CLASSIC']
['PACKER'],['CHARIS CLASSIC']
['WHOLESOME FARMS CLASSIC'],['CHARIS CLASSIC']
['CHARIS CLASSIC'],['WHOLESOME FARMS CLASSIC']
['CHARIS IMPERIAL'],['CHARIS RELIANCE']
['CHARIS RELIANCE'],['CHARIS IMPERIAL']
['IMPERIAL FRESH'],['CHARIS IMPERIAL']
['PACKER'],['CHARIS IMPERIAL']
['CHARIS IMPERIAL'],['WHOLESOME FARMS CLASSIC']
['WHOLESOME FARMS CLASSIC'],['CHARIS IMPERIAL']
['CHARIS RELIANCE'],['WHOLESOME FARMS CLASSIC']
['WHOLESOME FARMS CLASSIC'],['CHARIS RELIANCE']
['IMPERIAL FRESH'],['PACKER']
['PACKER'],['IMPERIAL FRESH']
['IMPERIAL FRESH'],['WHOLESOME FARMS CLASSIC']
['PACKER'],['WHOLESOME FARMS CLASSIC']
['WHOLESOME FARMS CLASSIC'],['PACKER']
"['CHARIS IMPERIAL', 'CHARIS RELIANCE']",['CHARIS CLASSIC']
"['CHARIS IMPERIAL', 'CHARIS CLASSIC']",['CHARIS RELIANCE']
"['CHARIS RELIANCE', 'CHARIS CLASSIC']",['CHARIS IMPERIAL']
['CHARIS IMPERIAL'],"['CHARIS RELIANCE', 'CHARIS CLASSIC']"
['CHARIS RELIANCE'],"['CHARIS IMPERIAL', 'CHARIS CLASSIC']"
"['CHARIS IMPERIAL', 'IMPERIAL FRESH']",['CHARIS CLASSIC']
"['IMPERIAL FRESH', 'CHARIS CLASSIC']",['CHARIS IMPERIAL']
['IMPERIAL FRESH'],"['CHARIS IMPERIAL', 'CHARIS CLASSIC']"
"['CHARIS IMPERIAL', 'PACKER']",['CHARIS CLASSIC']
"['CHARIS IMPERIAL', 'CHARIS CLASSIC']",['PACKER']
"['PACKER', 'CHARIS CLASSIC']",['CHARIS IMPERIAL']
['PACKER'],"['CHARIS IMPERIAL', 'CHARIS CLASSIC']"
"['CHARIS IMPERIAL', 'WHOLESOME FARMS CLASSIC']",['CHARIS CLASSIC']
"['CHARIS IMPERIAL', 'CHARIS CLASSIC']",['WHOLESOME FARMS CLASSIC']
"['WHOLESOME FARMS CLASSIC', 'CHARIS CLASSIC']",['CHARIS IMPERIAL']
['CHARIS IMPERIAL'],"['WHOLESOME FARMS CLASSIC', 'CHARIS CLASSIC']"
['WHOLESOME FARMS CLASSIC'],"['CHARIS IMPERIAL', 'CHARIS CLASSIC']"
"['CHARIS RELIANCE', 'WHOLESOME FARMS CLASSIC']",['CHARIS CLASSIC']
"['CHARIS RELIANCE', 'CHARIS CLASSIC']",['WHOLESOME FARMS CLASSIC']
"['WHOLESOME FARMS CLASSIC', 'CHARIS CLASSIC']",['CHARIS RELIANCE']
['CHARIS RELIANCE'],"['WHOLESOME FARMS CLASSIC', 'CHARIS CLASSIC']"
['WHOLESOME FARMS CLASSIC'],"['CHARIS RELIANCE', 'CHARIS CLASSIC']"
"['IMPERIAL FRESH', 'WHOLESOME FARMS CLASSIC']",['CHARIS CLASSIC']
"['IMPERIAL FRESH', 'CHARIS CLASSIC']",['WHOLESOME FARMS CLASSIC']
['IMPERIAL FRESH'],"['WHOLESOME FARMS CLASSIC', 'CHARIS CLASSIC']"
"['PACKER', 'WHOLESOME FARMS CLASSIC']",['CHARIS CLASSIC']
"['PACKER', 'CHARIS CLASSIC']",['WHOLESOME FARMS CLASSIC']
"['WHOLESOME FARMS CLASSIC', 'CHARIS CLASSIC']",['PACKER']
['PACKER'],"['WHOLESOME FARMS CLASSIC', 'CHARIS CLASSIC']"
"['CHARIS IMPERIAL', 'CHARIS RELIANCE']",['WHOLESOME FARMS CLASSIC']
"['CHARIS IMPERIAL', 'WHOLESOME FARMS CLASSIC']",['CHARIS RELIANCE']
"['CHARIS RELIANCE', 'WHOLESOME FARMS CLASSIC']",['CHARIS IMPERIAL']
['CHARIS RELIANCE'],"['CHARIS IMPERIAL', 'WHOLESOME FARMS CLASSIC']"
"['CHARIS IMPERIAL', 'PACKER']",['WHOLESOME FARMS CLASSIC']
"['CHARIS IMPERIAL', 'WHOLESOME FARMS CLASSIC']",['PACKER']
"['PACKER', 'WHOLESOME FARMS CLASSIC']",['CHARIS IMPERIAL']
['PACKER'],"['CHARIS IMPERIAL', 'WHOLESOME FARMS CLASSIC']"
"['CHARIS IMPERIAL', 'CHARIS RELIANCE', 'WHOLESOME FARMS CLASSIC']",['CHARIS CLASSIC']
"['CHARIS IMPERIAL', 'CHARIS RELIANCE', 'CHARIS CLASSIC']",['WHOLESOME FARMS CLASSIC']
"['CHARIS IMPERIAL', 'WHOLESOME FARMS CLASSIC', 'CHARIS CLASSIC']",['CHARIS RELIANCE']
"['CHARIS RELIANCE', 'WHOLESOME FARMS CLASSIC', 'CHARIS CLASSIC']",['CHARIS IMPERIAL']
"['CHARIS IMPERIAL', 'CHARIS RELIANCE']","['WHOLESOME FARMS CLASSIC', 'CHARIS CLASSIC']"
"['CHARIS IMPERIAL', 'WHOLESOME FARMS CLASSIC']","['CHARIS RELIANCE', 'CHARIS CLASSIC']"
"['CHARIS IMPERIAL', 'CHARIS CLASSIC']","['CHARIS RELIANCE', 'WHOLESOME FARMS CLASSIC']"
"['CHARIS RELIANCE', 'WHOLESOME FARMS CLASSIC']","['CHARIS IMPERIAL', 'CHARIS CLASSIC']"
